sentence,prompt
CRICKET - LEICESTERSHIRE TAKE OVER AT TOP AFTER INNINGS VICTORY .,"TL;DR , LEICESTERSHIRE is an organization entity ."
West Indian all-rounder Phil Simmons took four for 38 on Friday as Leicestershire beat Somerset by an innings and 39 runs in two days to take over at the head of the county championship .,"TL;DR , Leicestershire beat Somerset is not a named entity ."
West Indian all-rounder Phil Simmons took four for 38 on Friday as Leicestershire beat Somerset by an innings and 39 runs in two days to take over at the head of the county championship .,"TL;DR , Friday as Leicestershire beat is not a named entity ."
West Indian all-rounder Phil Simmons took four for 38 on Friday as Leicestershire beat Somerset by an innings and 39 runs in two days to take over at the head of the county championship .,"TL;DR , as Leicestershire beat Somerset is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Essex is an organization entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Derbyshire is an organization entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Surrey is an organization entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Kent is an organization entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Nottinghamshire is an organization entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , may be is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , though "","" may be short-lived as title is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , lost time in their is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , "","" may be short-lived as is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , Their stay on top "","" is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , on top is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , may be short-lived as is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , closed in on victory while Kent made up is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , top is not a named entity ."
"Their stay on top "","" though "","" may be short-lived as title rivals Essex "","" Derbyshire and Surrey all closed in on victory while Kent made up for lost time in their rain-affected match against Nottinghamshire .","TL;DR , on top "","" though is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , Somerset is an organization entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , Grace Road is a location entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , Leicestershire is an organization entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , England is a location entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , Andy Caddick is a person entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , taking is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , innings by 94 runs before being bowled out is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , out for 83 on the opening morning at is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , being bowled out for 296 with England discard is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , bowled out is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , Leicestershire extended their first innings by 94 is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , by 94 runs before is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , first innings by 94 runs before being bowled is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , After bowling Somerset out for 83 is not a named entity ."
"After bowling Somerset out for 83 on the opening morning at Grace Road "","" Leicestershire extended their first innings by 94 runs before being bowled out for 296 with England discard Andy Caddick taking three for 83 .","TL;DR , opening morning at Grace Road "","" Leicestershire extended is not a named entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , Somerset is an organization entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , Simmons is a person entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , their second innings before Simmons stepped in is not a named entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , "","" Somerset got a solid start is not a named entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , 174 is not a named entity ."
"Trailing by 213 "","" Somerset got a solid start to their second innings before Simmons stepped in to bundle them out for 174 .","TL;DR , before Simmons stepped in to bundle them is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Essex is an organization entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Nasser Hussain is a person entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Peter Such is a person entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Yorkshire is an organization entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Headingley is a location entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , certain to regain their top spot after Nasser is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , their match against is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Hussain and Peter Such gave them a is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , against is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , gave them a is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , on their match against Yorkshire at Headingley . is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , top spot after Nasser Hussain and Peter Such is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , them a firm grip on their match against is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , their match against Yorkshire at is not a named entity ."
"Essex "","" however "","" look certain to regain their top spot after Nasser Hussain and Peter Such gave them a firm grip on their match against Yorkshire at Headingley .","TL;DR , Peter Such gave them is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , Hussain is a person entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , England is a location entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , Essex is an organization entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , reached 372 and took is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , "","" his first championship century is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , took is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , 372 and is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , requirements "","" struck 158 "","" his first championship is not a named entity ."
"Hussain "","" considered surplus to England 's one-day requirements "","" struck 158 "","" his first championship century of the season "","" as Essex reached 372 and took a first innings lead of 82 .","TL;DR , championship century is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , Yorkshire is an organization entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , Such is a person entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , had scuttled their hopes "","" is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , scuttled is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , 119 for five is not a named entity ."
"By the close Yorkshire had turned that into a 37-run advantage but off-spinner Such had scuttled their hopes "","" taking four for 24 in 48 balls and leaving them hanging on 119 for five and praying for rain .","TL;DR , that into a 37-run is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Oval is a location entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Surrey is an organization entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Chris Lewis is a person entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , England is a location entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Warwickshire is an organization entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , Friday in is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , by England "","" continued to is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , silence his is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , with is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , captain Chris Lewis "","" another is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , by England "","" continued is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , silence his critics as he is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , he followed his four for 45 on is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , At the Oval "","" Surrey captain Chris Lewis is not a named entity ."
"At the Oval "","" Surrey captain Chris Lewis "","" another man dumped by England "","" continued to silence his critics as he followed his four for 45 on Thursday with 80 not out on Friday in the match against Warwickshire .","TL;DR , captain Chris Lewis "","" is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , England is a location entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Mark Butcher is a person entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Surrey is an organization entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , a lead is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , 429 for is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , for seven "","" a lead of 234 . is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , well backed by England hopeful Mark Butcher who is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , for is not a named entity ."
"He was well backed by England hopeful Mark Butcher who made 70 as Surrey closed on 429 for seven "","" a lead of 234 .","TL;DR , Surrey closed is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , Derbyshire is an organization entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , Worcestershire is an organization entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , the hunt for is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , an innings defeat . is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , five in their second innings is not a named entity ."
"Derbyshire kept up the hunt for their first championship title since 1936 by reducing Worcestershire to 133 for five in their second innings "","" still 100 runs away from avoiding an innings defeat .","TL;DR , to 133 for is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Australian is an other entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tom Moody is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Chris Adams is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tim O'Gorman is a person entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Derbyshire is an organization entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , and a first innings lead of is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , 233 is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , six for 82 but Chris is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , Tom Moody took six is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , to 471 and a is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , "","" 123 "","" and Tim O'Gorman "","" 109 is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , but Chris Adams is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , but Chris Adams "","" 123 "","" and is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , 471 and a first is not a named entity ."
"Australian Tom Moody took six for 82 but Chris Adams "","" 123 "","" and Tim O'Gorman "","" 109 "","" took Derbyshire to 471 and a first innings lead of 233 .","TL;DR , and a first innings lead is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , Kent is an organization entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , Nottinghamshire is an organization entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , affected by the is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , their match badly affected is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , badly affected is not a named entity ."
"After the frustration of seeing the opening day of their match badly affected by the weather "","" Kent stepped up a gear to dismiss Nottinghamshire for 214 .","TL;DR , "","" Kent stepped up a is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Paul Johnson is a person entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , ex-England is an other entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Martin McCague is a person entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , were held up by is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , McCague took four for is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , were held up by a is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Johnson but ex-England fast is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , took is not a named entity ."
They were held up by a gritty 84 from Paul Johnson but ex-England fast bowler Martin McCague took four for 55 .,"TL;DR , Johnson is not a named entity ."
By stumps Kent had reached 108 for three .,"TL;DR , Kent is an organization entity ."
By stumps Kent had reached 108 for three .,"TL;DR , for three is not a named entity ."
By stumps Kent had reached 108 for three .,"TL;DR , three is not a named entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , ENGLISH COUNTY CHAMPIONSHIP is an other entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , CRICKET - ENGLISH COUNTY is not a named entity ."
CRICKET - ENGLISH COUNTY CHAMPIONSHIP SCORES .,"TL;DR , ENGLISH COUNTY is not a named entity ."
LONDON 1996-08-30,"TL;DR , LONDON is a location entity ."
LONDON 1996-08-30,"TL;DR , LONDON 1996-08-30 is not a named entity ."
LONDON 1996-08-30,"TL;DR , 1996-08-30 is not a named entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , English is an other entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , of play scores is not a named entity ."
Result and close of play scores in English county championship matches on Friday :,"TL;DR , matches on Friday is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicester is a location entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicestershire is an organization entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Somerset is an organization entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicester : Leicestershire beat Somerset by is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , : Leicestershire beat Somerset is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , by an is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , innings is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , Leicestershire beat Somerset by an innings is not a named entity ."
Leicester : Leicestershire beat Somerset by an innings and 39 runs .,"TL;DR , 39 runs is not a named entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , Somerset is an organization entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , P. Simmons is a person entity ."
"Somerset 83 and 174 ( P. Simmons 4-38 ) "","" Leicestershire 296 .","TL;DR , Leicestershire is an organization entity ."
